Seed,1573703884.0379934
Action,Start. P,C|C,C|D
0.0,0.02,0.03,0.97,0.3,0.7
1.0,0.98,0.27,0.73,0.01,0.99

0.0,0.0,0.15,0.85,0.25,0.75
1.0,1.0,0.24,0.76,0.0,1.0

0.0,0.05,0.12,0.88,0.39,0.61
1.0,0.95,0.16,0.84,0.02,0.98

0.0,0.05,0.15,0.85,0.4,0.6
1.0,0.95,0.16,0.84,0.0,1.0

0.0,0.07,0.15,0.85,0.37,0.63
1.0,0.93,0.2,0.8,0.0,1.0

0.0,0.07,0.0,1.0,0.31,0.69
1.0,0.93,0.23,0.77,0.02,0.98

0.0,0.0,0.15,0.85,0.2,0.8
1.0,1.0,0.29,0.71,0.01,0.99

0.0,0.02,0.11,0.89,0.39,0.61
1.0,0.98,0.14,0.86,0.0,1.0

0.0,0.04,0.15,0.85,0.43,0.57
1.0,0.96,0.17,0.83,0.0,1.0

0.0,0.02,0.17,0.83,0.36,0.64
1.0,0.98,0.19,0.81,0.02,0.98

