Action,C|C,D|C,C|D,D|D
0.0,1.0,0.0,0.7,0.3
1.0,0.99,0.01,0.97,0.03

0.0,1.0,0.0,0.69,0.31
1.0,0.98,0.02,0.98,0.02

0.0,1.0,0.0,0.61,0.39
1.0,0.98,0.02,0.98,0.02

0.0,1.0,0.0,0.64,0.36
1.0,0.99,0.01,0.98,0.02

0.0,1.0,0.0,0.62,0.38
1.0,0.98,0.02,0.98,0.02

0.0,1.0,0.0,0.71,0.29
1.0,0.99,0.01,0.97,0.03

0.0,1.0,0.0,0.71,0.29
1.0,0.98,0.02,0.98,0.02

0.0,1.0,0.0,0.61,0.39
1.0,0.98,0.02,0.98,0.02

0.0,1.0,0.0,0.64,0.36
1.0,0.99,0.01,0.98,0.02

0.0,1.0,0.0,0.64,0.36
1.0,0.98,0.02,0.98,0.02

