Action,C|C,D|C,C|D,D|D
0.0,0.4,0.6,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.46,0.54,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.41,0.59,0.05,0.95
1.0,0.99,0.01,0.0,1.0

0.0,0.45,0.55,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.44,0.56,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.39,0.61,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.47,0.53,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.4,0.6,0.05,0.95
1.0,0.99,0.01,0.0,1.0

0.0,0.46,0.54,0.04,0.96
1.0,0.99,0.01,0.0,1.0

0.0,0.44,0.56,0.04,0.96
1.0,0.99,0.01,0.0,1.0

